path	source	license	notes
src-tauri/icons/android/mipmap-hdpi/ic_launcher.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher icon generated from template asset.
src-tauri/icons/android/mipmap-hdpi/ic_launcher_round.png	Tauri project icon template	MIT OR Apache-2.0	Android round launcher icon generated from template asset.
src-tauri/icons/android/mipmap-mdpi/ic_launcher_foreground.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher foreground icon generated from template asset.
src-tauri/icons/android/mipmap-mdpi/ic_launcher.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher icon generated from template asset.
src-tauri/icons/android/mipmap-mdpi/ic_launcher_round.png	Tauri project icon template	MIT OR Apache-2.0	Android round launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xhdpi/ic_launcher_foreground.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher foreground icon generated from template asset.
src-tauri/icons/android/mipmap-xhdpi/ic_launcher.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xhdpi/ic_launcher_round.png	Tauri project icon template	MIT OR Apache-2.0	Android round launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xxhdpi/ic_launcher_foreground.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher foreground icon generated from template asset.
src-tauri/icons/android/mipmap-xxhdpi/ic_launcher.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xxhdpi/ic_launcher_round.png	Tauri project icon template	MIT OR Apache-2.0	Android round launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher_foreground.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher foreground icon generated from template asset.
src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher.png	Tauri project icon template	MIT OR Apache-2.0	Android launcher icon generated from template asset.
src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher_round.png	Tauri project icon template	MIT OR Apache-2.0	Android round launcher icon generated from template asset.
src-tauri/icons/binturong-logo.svg	Project brand asset	MIT OR Apache-2.0	Bundled brand logo used for app icon generation and packaging.
src-tauri/icons/ios/AppIcon-20x20@1x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-20x20@2x-1.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-20x20@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-20x20@3x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-29x29@1x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-29x29@2x-1.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-29x29@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-29x29@3x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-40x40@1x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-40x40@2x-1.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-40x40@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-40x40@3x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-512@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-60x60@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-60x60@3x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-76x76@1x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-76x76@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
src-tauri/icons/ios/AppIcon-83.5x83.5@2x.png	Tauri project icon template	MIT OR Apache-2.0	iOS app icon variant generated from template asset.
